Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2024-12-11 00:00,29.16,50.66,1.15,0.03,47.46,0.1392,0.1026
2024-12-12 00:00,17.15,157.07,0.00,0.04,47.16,0.0000,0.0000
2024-12-13 00:00,11.53,129.90,0.00,0.03,46.97,0.0000,0.0000
2024-12-14 00:00,9.03,83.20,0.00,0.04,46.66,0.0000,0.0000
2024-12-15 00:00,9.43,66.50,0.30,0.03,47.56,0.0301,0.0294
2024-12-16 00:00,8.04,63.67,0.01,0.04,47.36,0.0003,0.0006
2024-12-17 00:00,22.40,71.60,0.10,0.04,47.69,0.0051,0.0096
2024-12-18 00:00,23.96,67.92,0.14,0.04,48.08,0.0101,0.0109
2024-12-19 00:00,15.86,64.81,0.02,0.04,48.00,0.0004,0.0012
2024-12-20 00:00,12.44,61.13,0.02,0.04,47.87,0.0005,0.0015
2024-12-21 00:00,9.57,57.17,0.00,0.04,47.59,0.0000,0.0000
2024-12-22 00:00,7.79,54.05,0.00,0.03,47.37,0.0000,0.0000
2024-12-23 00:00,6.60,51.22,0.00,0.04,47.11,0.0000,0.0000
2024-12-24 00:00,5.71,49.24,0.00,0.04,46.80,0.0000,0.0000
2024-12-25 00:00,4.98,47.83,0.00,0.03,46.58,0.0000,0.0000
2024-12-26 00:00,4.35,46.98,0.00,0.04,46.30,0.0000,0.0000
2024-12-27 00:00,3.82,45.28,0.03,0.02,46.26,0.0030,0.0025
2024-12-28 00:00,7.54,46.69,0.76,0.03,48.47,0.0900,0.0720
2024-12-29 00:00,49.25,112.07,1.24,0.03,52.16,0.1344,0.1347
2024-12-30 00:00,29.19,219.61,0.04,0.04,52.05,0.0020,0.0044
2024-12-31 00:00,16.79,187.35,0.00,0.04,51.72,0.0000,0.0000
